DATASET,CELL_LINE_NAME,TCGA_DESC,CelllineName,DRUG_NAME,DrugBankID,LN_IC50,IC50
GDSC1,COLO-829,SKCM,SKCM_COLO-829,Erlotinib,DB00530,2.966007,19.41424
GDSC1,8-MG-BA,GBM,GBM_8-MG-BA,Erlotinib,DB00530,2.493943,12.10893
GDSC1,GB-1,GBM,GBM_GB-1,Erlotinib,DB00530,3.603243,36.71712
GDSC1,U-87-MG,GBM,GBM_U-87-MG,Erlotinib,DB00530,3.875674,48.21518
GDSC1,NCI-H1648,LUAD,LUAD_NCI-H1648,Erlotinib,DB00530,-3.130315,0.0437
GDSC1,NCI-H1650,LUAD,LUAD_NCI-H1650,Erlotinib,DB00530,3.661843,38.93303
GDSC1,NCI-H1838,LUAD,LUAD_NCI-H1838,Erlotinib,DB00530,2.322838,10.20459
GDSC1,Calu-6,LUAD,LUAD_Calu-6,Erlotinib,DB00530,3.009075,20.26864
GDSC1,NCI-H1355,LUAD,LUAD_NCI-H1355,Erlotinib,DB00530,0.95477,2.59807
GDSC1,TE-5,ESCA,ESCA_TE-5,Erlotinib,DB00530,0.560294,1.75119
GDSC1,HCC1187,BRCA,BRCA_HCC1187,Erlotinib,DB00530,2.958064,19.26065
GDSC1,HCC1599,BRCA,BRCA_HCC1599,Erlotinib,DB00530,2.789715,16.27638
GDSC1,HCC2157,BRCA,BRCA_HCC2157,Erlotinib,DB00530,1.417685,4.12755
GDSC1,HCC2218,BRCA,BRCA_HCC2218,Erlotinib,DB00530,3.563545,35.28807
GDSC1,BB30-HNC,HNSC,HNSC_BB30-HNC,Erlotinib,DB00530,-1.852699,0.15681
GDSC1,BB49-HNC,HNSC,HNSC_BB49-HNC,Erlotinib,DB00530,3.766125,43.21229
GDSC1,CP66-MEL,SKCM,SKCM_CP66-MEL,Erlotinib,DB00530,1.770156,5.87177
GDSC1,D-542MG,GBM,GBM_D-542MG,Erlotinib,DB00530,1.916446,6.79676
GDSC1,DSH1,BLCA,BLCA_DSH1,Erlotinib,DB00530,2.155991,8.63644
GDSC1,EC-GI-10,ESCA,ESCA_EC-GI-10,Erlotinib,DB00530,2.422486,11.27385
GDSC1,HA7-RCC,KIRC,KIRC_HA7-RCC,Erlotinib,DB00530,3.415529,30.43304
GDSC1,LB1047-RCC,KIRC,KIRC_LB1047-RCC,Erlotinib,DB00530,1.065933,2.90355
GDSC1,LB2241-RCC,KIRC,KIRC_LB2241-RCC,Erlotinib,DB00530,-0.028156,0.97224
GDSC1,LB2518-MEL,SKCM,SKCM_LB2518-MEL,Erlotinib,DB00530,1.757342,5.79701
GDSC1,LB373-MEL-D,SKCM,SKCM_LB373-MEL-D,Erlotinib,DB00530,1.639828,5.15428
GDSC1,LB771-HNC,HNSC,HNSC_LB771-HNC,Erlotinib,DB00530,1.369229,3.93232
GDSC1,LB831-BLC,BLCA,BLCA_LB831-BLC,Erlotinib,DB00530,2.151403,8.59691
GDSC1,LB996-RCC,KIRC,KIRC_LB996-RCC,Erlotinib,DB00530,-1.802077,0.16496
GDSC1,LXF-289,LUAD,LUAD_LXF-289,Erlotinib,DB00530,1.796901,6.03093
GDSC1,MZ1-PC,PAAD,PAAD_MZ1-PC,Erlotinib,DB00530,1.791802,6.00026
GDSC1,MZ7-mel,SKCM,SKCM_MZ7-mel,Erlotinib,DB00530,3.506117,33.31864
GDSC1,TE-15,ESCA,ESCA_TE-15,Erlotinib,DB00530,0.977622,2.65813
GDSC1,TE-1,ESCA,ESCA_TE-1,Erlotinib,DB00530,-1.395483,0.24771
GDSC1,TE-10,ESCA,ESCA_TE-10,Erlotinib,DB00530,1.305436,3.6893
GDSC1,TE-8,ESCA,ESCA_TE-8,Erlotinib,DB00530,1.841164,6.30387
GDSC1,NCI-H226,LUSC,LUSC_NCI-H226,Erlotinib,DB00530,3.016352,20.41668
GDSC1,NCI-H23,LUAD,LUAD_NCI-H23,Erlotinib,DB00530,3.145254,23.22557
GDSC1,SK-MEL-2,SKCM,SKCM_SK-MEL-2,Erlotinib,DB00530,3.394001,29.78488
GDSC1,NCI-H322M,LUAD,LUAD_NCI-H322M,Erlotinib,DB00530,1.134468,3.10952
GDSC1,EKVX,LUAD,LUAD_EKVX,Erlotinib,DB00530,-1.097318,0.33377
GDSC1,HOP-62,LUAD,LUAD_HOP-62,Erlotinib,DB00530,2.754328,15.71048
GDSC1,LOXIMVI,SKCM,SKCM_LOXIMVI,Erlotinib,DB00530,3.297854,27.05452
GDSC1,UACC-257,SKCM,SKCM_UACC-257,Erlotinib,DB00530,3.128974,22.85052
GDSC1,RXF393,KIRC,KIRC_RXF393,Erlotinib,DB00530,2.258689,9.57053
GDSC1,TK10,KIRC,KIRC_TK10,Erlotinib,DB00530,-0.273488,0.76072
GDSC1,SNB75,GBM,GBM_SNB75,Erlotinib,DB00530,3.992278,54.17817
GDSC1,SF268,GBM,GBM_SF268,Erlotinib,DB00530,3.43731,31.10318
GDSC1,Becker,GBM,GBM_Becker,Erlotinib,DB00530,1.371545,3.94144
GDSC1,COLO-824,BRCA,BRCA_COLO-824,Erlotinib,DB00530,3.692034,40.12638
GDSC1,COLO-800,SKCM,SKCM_COLO-800,Erlotinib,DB00530,3.069829,21.53822
GDSC1,DU-4475,BRCA,BRCA_DU-4475,Erlotinib,DB00530,2.922698,18.59138
GDSC1,EVSA-T,BRCA,BRCA_EVSA-T,Erlotinib,DB00530,2.814767,16.68929
GDSC1,GCIY,STAD,STAD_GCIY,Erlotinib,DB00530,-0.037047,0.96363
GDSC1,HT-144,SKCM,SKCM_HT-144,Erlotinib,DB00530,2.629161,13.86213
GDSC1,IST-MEL1,SKCM,SKCM_IST-MEL1,Erlotinib,DB00530,2.96326,19.36099
GDSC1,KS-1,GBM,GBM_KS-1,Erlotinib,DB00530,0.793814,2.21182
GDSC1,LC-2-ad,LUAD,LUAD_LC-2-ad,Erlotinib,DB00530,1.167732,3.21469
GDSC1,LNCaP-Clone-FGC,PRAD,PRAD_LNCaP-Clone-FGC,Erlotinib,DB00530,3.527491,34.03846
GDSC1,MRK-nu-1,BRCA,BRCA_MRK-nu-1,Erlotinib,DB00530,3.650586,38.49722
GDSC1,SNU-1,STAD,STAD_SNU-1,Erlotinib,DB00530,2.612492,13.63298
GDSC1,SNU-5,STAD,STAD_SNU-5,Erlotinib,DB00530,3.699553,40.42923
GDSC1,SNU-16,STAD,STAD_SNU-16,Erlotinib,DB00530,2.43335,11.397
GDSC1,NCI-H1666,LUAD,LUAD_NCI-H1666,Erlotinib,DB00530,3.762674,43.06342
GDSC1,OS-RC-2,KIRC,KIRC_OS-RC-2,Erlotinib,DB00530,-0.367139,0.69271
GDSC1,OCUB-M,BRCA,BRCA_OCUB-M,Erlotinib,DB00530,2.707549,14.99248
GDSC1,RF-48,STAD,STAD_RF-48,Erlotinib,DB00530,3.295402,26.98826
GDSC1,SF126,GBM,GBM_SF126,Erlotinib,DB00530,2.715371,15.11021
GDSC1,SH-4,SKCM,SKCM_SH-4,Erlotinib,DB00530,3.797037,44.56893
GDSC1,SK-MEL-1,SKCM,SKCM_SK-MEL-1,Erlotinib,DB00530,3.782414,43.92194
GDSC1,RCC10RGB,KIRC,KIRC_RCC10RGB,Erlotinib,DB00530,1.944186,6.98794
GDSC1,PSN1,PAAD,PAAD_PSN1,Erlotinib,DB00530,2.900545,18.18405
GDSC1,CGTH-W-1,THCA,THCA_CGTH-W-1,Erlotinib,DB00530,2.924836,18.63117
GDSC1,COLO-684,UCEC,UCEC_COLO-684,Erlotinib,DB00530,3.550915,34.84519
GDSC1,UACC-812,BRCA,BRCA_UACC-812,Erlotinib,DB00530,3.626634,37.58609
GDSC1,SCC-15,HNSC,HNSC_SCC-15,Erlotinib,DB00530,3.602564,36.69219
GDSC1,A101D,SKCM,SKCM_A101D,Erlotinib,DB00530,2.325072,10.22742
GDSC1,AM-38,GBM,GBM_AM-38,Erlotinib,DB00530,3.388752,29.62895
GDSC1,CAS-1,GBM,GBM_CAS-1,Erlotinib,DB00530,3.686191,39.89261
GDSC1,MFM-223,BRCA,BRCA_MFM-223,Erlotinib,DB00530,3.653501,38.6096
GDSC1,CAL-148,BRCA,BRCA_CAL-148,Erlotinib,DB00530,2.553022,12.84587
GDSC1,K5,THCA,THCA_K5,Erlotinib,DB00530,3.323613,27.76047
GDSC1,NCI-H1975,LUAD,LUAD_NCI-H1975,Erlotinib,DB00530,2.304891,10.02309
GDSC1,MMAc-SF,SKCM,SKCM_MMAc-SF,Erlotinib,DB00530,2.65404,14.21134
GDSC1,TE-6,ESCA,ESCA_TE-6,Erlotinib,DB00530,0.183414,1.20131
GDSC1,TE-12,ESCA,ESCA_TE-12,Erlotinib,DB00530,-2.596094,0.07456
GDSC1,BT-474,BRCA,BRCA_BT-474,Erlotinib,DB00530,3.157136,23.50319
GDSC1,D-247MG,GBM,GBM_D-247MG,Erlotinib,DB00530,2.208734,9.10418
GDSC1,D-263MG,GBM,GBM_D-263MG,Erlotinib,DB00530,2.784938,16.19881
GDSC1,D-392MG,GBM,GBM_D-392MG,Erlotinib,DB00530,2.186635,8.9052
GDSC1,OMC-1,CESC,CESC_OMC-1,Erlotinib,DB00530,3.465473,31.99159
GDSC1,MZ2-MEL,SKCM,SKCM_MZ2-MEL,Erlotinib,DB00530,2.962809,19.35226
GDSC1,NCI-H1869,LUSC,LUSC_NCI-H1869,Erlotinib,DB00530,0.519329,1.6809
GDSC1,VCaP,PRAD,PRAD_VCaP,Erlotinib,DB00530,3.161014,23.59451
GDSC1,HSC-39,STAD,STAD_HSC-39,Erlotinib,DB00530,2.681561,14.60788
GDSC1,COLO-829,SKCM,SKCM_COLO-829,Rapamycin,DB00877,1.061778,2.89151
GDSC1,8-MG-BA,GBM,GBM_8-MG-BA,Rapamycin,DB00877,-2.191741,0.11172
GDSC1,U-87-MG,GBM,GBM_U-87-MG,Rapamycin,DB00877,-1.946868,0.14272
GDSC1,NCI-H1648,LUAD,LUAD_NCI-H1648,Rapamycin,DB00877,-2.529089,0.07973
GDSC1,NCI-H1650,LUAD,LUAD_NCI-H1650,Rapamycin,DB00877,0.661517,1.93773
GDSC1,NCI-H1838,LUAD,LUAD_NCI-H1838,Rapamycin,DB00877,0.049171,1.0504
GDSC1,Calu-6,LUAD,LUAD_Calu-6,Rapamycin,DB00877,0.51072,1.66649
GDSC1,NCI-H1355,LUAD,LUAD_NCI-H1355,Rapamycin,DB00877,-7.966342,0.00035
GDSC1,TE-5,ESCA,ESCA_TE-5,Rapamycin,DB00877,-2.451194,0.08619
GDSC1,HCC1187,BRCA,BRCA_HCC1187,Rapamycin,DB00877,-2.551138,0.07799
GDSC1,HCC1599,BRCA,BRCA_HCC1599,Rapamycin,DB00877,-3.304987,0.0367
GDSC1,HCC2157,BRCA,BRCA_HCC2157,Rapamycin,DB00877,-2.055418,0.12804
GDSC1,HCC2218,BRCA,BRCA_HCC2218,Rapamycin,DB00877,-1.883989,0.15198
GDSC1,BB30-HNC,HNSC,HNSC_BB30-HNC,Rapamycin,DB00877,-2.975302,0.05103
